# boot-timeline.py --retro, tool sha256 05dd4a74c349be5e161b44900474dc6b4795186d112456ee39485a59e4214273, paths: bench/2026-09-23
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	vendor	-	cold	pooled			boot.jump_to_ready	jump	ready	not-comparable	4		26.216994	26.085752	26.309627								
cell	vendor	-	warm	pooled			boot.jump_to_ready	jump	ready	not-comparable	5		26.191747	25.339388	26.237552								
cell	vendor	-	?	pooled			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			rtkload.decompress	decomp	decomp_done	comparable	2		1.188528	1.187909	1.189148								
cell	rlxfw	quiet	warm	pooled			rtkload.decompress	decomp	decomp_done	comparable	6		1.201162	1.187955	1.201430								
cell	rlxfw	quiet	?	pooled			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	quiet	cold	pooled			rtkload.total	jump	kentry	comparable	2		1.201843	1.201280	1.202405								
cell	rlxfw	quiet	warm	pooled			rtkload.total	jump	kentry	comparable	6		1.214380	1.202401	1.215932								
cell	rlxfw	quiet	?	pooled			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.early	kentry	wlan	comparable	2		0.802541	0.802121	0.802961								
cell	rlxfw	quiet	warm	pooled			kernel.early	kentry	wlan	comparable	6		0.809942	0.801947	0.811875								
cell	rlxfw	quiet	?	pooled			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.wlan	wlan	nic	comparable	2		4.485276	4.482159	4.488393								
cell	rlxfw	quiet	warm	pooled			kernel.wlan	wlan	nic	comparable	6		4.533120	4.482950	4.534946								
cell	rlxfw	quiet	?	pooled			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.nic	nic	fastpath	comparable	2		0.839958	0.839362	0.840555								
cell	rlxfw	quiet	warm	pooled			kernel.nic	nic	fastpath	comparable	6		0.847733	0.839103	0.848698								
cell	rlxfw	quiet	?	pooled			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.late	fastpath	userinit	comparable	2		3.089722	3.087148	3.092295								
cell	rlxfw	quiet	warm	pooled			kernel.late	fastpath	userinit	comparable	6		3.121415	3.087729	3.122019								
cell	rlxfw	quiet	?	pooled			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.total	kentry	userinit	comparable	2		9.217497	9.210790	9.224204								
cell	rlxfw	quiet	warm	pooled			kernel.total	kentry	userinit	comparable	6		9.313759	9.212211	9.314436								
cell	rlxfw	quiet	?	pooled			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	quiet	cold	pooled			user.ready	userinit	ready	not-comparable	2		0.113378	0.112829	0.113928								
cell	rlxfw	quiet	warm	pooled			user.ready	userinit	ready	not-comparable	6		0.114286	0.112057	0.115006								
cell	rlxfw	quiet	?	pooled			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			boot.jump_to_ready	jump	ready	not-comparable	2		10.532718	10.524899	10.540537								
cell	rlxfw	quiet	warm	pooled			boot.jump_to_ready	jump	ready	not-comparable	6		10.642682	10.526669	10.644789								
cell	rlxfw	quiet	?	pooled			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			rlxfw.setup	b00	b09	not-comparable	2		0.045743	0.045650	0.045835								
cell	rlxfw	quiet	warm	pooled			rlxfw.setup	b00	b09	not-comparable	6		0.046263	0.046074	0.046625								
cell	rlxfw	quiet	?	pooled			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			rlxfw.initpost	b10	userinit	not-comparable	2		0.011523	0.011458	0.011588								
cell	rlxfw	quiet	warm	pooled			rlxfw.initpost	b10	userinit	not-comparable	6		0.011720	0.011626	0.012498								
cell	rlxfw	quiet	?	pooled			rlxfw.initpost	b10	userinit	not-comparable	0												
cell	rlxfw	loud	cold	pooled			rtkload.decompress	decomp	decomp_done	comparable	1		1.231281	1.231281	1.231281								
cell	rlxfw	loud	warm	pooled			rtkload.decompress	decomp	decomp_done	comparable	2		1.229918	1.229789	1.230047								
cell	rlxfw	loud	?	pooled			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	loud	cold	pooled			rtkload.total	jump	kentry	comparable	1		1.246918	1.246918	1.246918								
cell	rlxfw	loud	warm	pooled			rtkload.total	jump	kentry	comparable	2		1.242260	1.242191	1.242329								
cell	rlxfw	loud	?	pooled			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.early	kentry	wlan	comparable	1		1.505786	1.505786	1.505786								
cell	rlxfw	loud	warm	pooled			kernel.early	kentry	wlan	comparable	2		1.503931	1.503630	1.504232								
cell	rlxfw	loud	?	pooled			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.wlan	wlan	nic	comparable	1		5.140987	5.140987	5.140987								
cell	rlxfw	loud	warm	pooled			kernel.wlan	wlan	nic	comparable	2		5.135207	5.134660	5.135754								
cell	rlxfw	loud	?	pooled			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.nic	nic	fastpath	comparable	1		1.224543	1.224543	1.224543								
cell	rlxfw	loud	warm	pooled			kernel.nic	nic	fastpath	comparable	2		1.223883	1.223827	1.223940								
cell	rlxfw	loud	?	pooled			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.late	fastpath	userinit	comparable	1		3.140063	3.140063	3.140063								
cell	rlxfw	loud	warm	pooled			kernel.late	fastpath	userinit	comparable	2		3.138953	3.138946	3.138961								
