# boot-timeline.py --retro, tool sha256 a541392a0ffe7216f176f5f50995cc6eac0bcc4a384aa407a082037d5219ec7c, paths: bench/2026-09-25
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	vendor	-	warm	pooled			kernel.late	fastpath	userinit	comparable	5		0.974138	0.973746	0.986002								
cell	vendor	-	?	pooled			kernel.late	fastpath	userinit	comparable	0												
cell	vendor	-	cold	pooled			kernel.total	kentry	userinit	comparable	4		7.097987	7.097306	7.098145								
cell	vendor	-	warm	pooled			kernel.total	kentry	userinit	comparable	5		7.098146	7.097453	7.109743								
cell	vendor	-	?	pooled			kernel.total	kentry	userinit	comparable	0												
cell	vendor	-	cold	pooled			user.ready	userinit	ready	not-comparable	4		18.684909	18.656161	18.802760								
cell	vendor	-	warm	pooled			user.ready	userinit	ready	not-comparable	5		18.660134	17.677930	18.862950								
cell	vendor	-	?	pooled			user.ready	userinit	ready	not-comparable	0												
cell	vendor	-	cold	pooled			boot.jump_to_ready	jump	ready	not-comparable	4		26.858313	26.828089	26.971659								
cell	vendor	-	warm	pooled			boot.jump_to_ready	jump	ready	not-comparable	5		26.836990	25.851886	27.035197								
cell	vendor	-	?	pooled			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			rtkload.decompress	decomp	decomp_done	comparable	2		1.217980	1.217956	1.218004								
cell	rlxfw	quiet	warm	pooled			rtkload.decompress	decomp	decomp_done	comparable	6		1.217587	1.216993	1.218285								
cell	rlxfw	quiet	?	pooled			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	quiet	cold	pooled			rtkload.total	jump	kentry	comparable	2		1.231186	1.229057	1.233314								
cell	rlxfw	quiet	warm	pooled			rtkload.total	jump	kentry	comparable	6		1.230987	1.229956	1.232254								
cell	rlxfw	quiet	?	pooled			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.early	kentry	wlan	comparable	2		0.822039	0.822030	0.822048								
cell	rlxfw	quiet	warm	pooled			kernel.early	kentry	wlan	comparable	6		0.821913	0.821267	0.822190								
cell	rlxfw	quiet	?	pooled			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.wlan	wlan	nic	comparable	2		4.597359	4.597089	4.597628								
cell	rlxfw	quiet	warm	pooled			kernel.wlan	wlan	nic	comparable	6		4.597584	4.597131	4.605920								
cell	rlxfw	quiet	?	pooled			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.nic	nic	fastpath	comparable	2		0.860345	0.860160	0.860530								
cell	rlxfw	quiet	warm	pooled			kernel.nic	nic	fastpath	comparable	6		0.860623	0.851536	0.861355								
cell	rlxfw	quiet	?	pooled			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	quiet	cold	pooled			kernel.late	fastpath	userinit	comparable	2		3.165760	3.165456	3.166064								
cell	rlxfw	quiet	warm	pooled			kernel.late	fastpath	userinit	comparable	6		3.165525	3.165364	3.165801								
cell	rlxfw	quiet	?	pooled			kernel.late	fastpath	userinit	comparable	0												
